 1 DOS      WRD      SI       84       D1(B1),I2
 1 DOS      WXTRN    HLASM
 1 DOS      X        RX       57       R1,D2(X2,B2)
 1 DOS      XC       SS       D7       D1(L,B1),D2(B2)
 1 DOS      XI       SI       97       D1(B1),I2
 1 DOS      XR       RR       17       R1,R2
 1 DOS      ZAP      SS       F8       D1(L1,B1),D2(L2,B2)
 2 370      A        RX       5A       R1,D2(X2,B2)
 2 370      ACONTROL HLASM
 2 370      ACTR     HLASM
 2 370      AD       RX       6A       R1,D2(X2,B2)
 2 370      ADATA    HLASM
 2 370      ADR      RR       2A       R1,R2
 2 370      AE       RX       7A       R1,D2(X2,B2)
 2 370      AEJECT   HLASM
 2 370      AER      RR       3A       R1,R2
 2 370      AGO      HLASM
 2 370      AGOB     HLASM
 2 370      AH       RX       4A       R1,D2(X2,B2)
 2 370      AIF      HLASM
 2 370      AIFB     HLASM
 2 370      AINSERT  HLASM
 2 370      AL       RX       5E       R1,D2(X2,B2)
 2 370      ALIAS    HLASM
 2 370      ALR      RR       1E       R1,R2
 2 370      AMODE    HLASM
 2 370      ANOP     HLASM
 2 370      AP       SS       FA       D1(L1,B1),D2(L2,B2)
 2 370      AR       RR       1A       R1,R2
 2 370      AREAD    HLASM
 2 370      ASPACE   HLASM
 2 370      AU       RX       7E       R1,D2(X2,B2)
 2 370      AUR      RR       3E       R1,R2
 2 370      AW       RX       6E       R1,D2(X2,B2)
 2 370      AWR      RR       2E       R1,R2
 2 370      AXR      RR       36       R1,R2
 2 370      B        RX       47F.     D2(X2,B2)
 2 370      BAL      RX       45       R1,D2(X2,B2)
 2 370      BALR     RR       05       R1,R2
 2 370      BAS      RX       4D       R1,D2(X2,B2)
 2 370      BASR     RR       0D       R1,R2
 2 370      BC       RX       47       M1,D2(X2,B2)
 2 370      BCR      RR       07       M1,R2
 2 370      BCT      RX       46       R1,D2(X2,B2)
 2 370      BCTR     RR       06       R1,R2
 2 370      BE       RX       478.     D2(X2,B2)
 2 370      BER      RR       078.     R2
 2 370      BH       RX       472.     D2(X2,B2)
 2 370      BHR      RR       072.     R2
 2 370      BL       RX       474.     D2(X2,B2)
 2 370      BLR      RR       074.     R2
 2 370      BM       RX       474.     D2(X2,B2)
 2 370      BMR      RR       074.     R2
 2 370      BNE      RX       477.     D2(X2,B2)
 2 370      BNER     RR       077.     R2
 2 370      BNH      RX       47D.     D2(X2,B2)
 2 370      BNHR     RR       07D.     R2
 2 370      BNL      RX       47B.     D2(X2,B2)
 2 370      BNLR     RR       07B.     R2
 2 370      BNM      RX       47B.     D2(X2,B2)
 2 370      BNMR     RR       07B.     R2
 2 370      BNO      RX       47E.     D2(X2,B2)
 2 370      BNOR     RR       07E.     R2
 2 370      BNP      RX       47D.     D2(X2,B2)
 2 370      BNPR     RR       07D.     R2
 2 370      BNZ      RX       477.     D2(X2,B2)
 2 370      BNZR     RR       077.     R2
 2 370      BO       RX       471.     D2(X2,B2)
 2 370      BOR      RR       071.     R2
 2 370      BP       RX       472.     D2(X2,B2)
 2 370      BPR      RR       072.     R2
 2 370      BR       RR       07F.     R2
 2 370      BXH      RS       86       R1,R3,D2(B2)
 2 370      BXLE     RS       87       R1,R3,D2(B2)
 2 370      BZ       RX       478.     D2(X2,B2)
 2 370      BZR      RR       078.     R2
 2 370      C        RX       59       R1,D2(X2,B2)
 2 370      CATTR    HLASM
 2 370      CCW      HLASM
 2 370      CCW0     HLASM
 2 370      CCW1     HLASM
 2 370      CD       RX       69       R1,D2(X2,B2)
 2 370      CDR      RR       29       R1,R2
 2 370      CDS      RS       BB       R1,R3,D2(B2)
 2 370      CE       RX       79       R1,D2(X2,B2)
 2 370      CEJECT   HLASM
 2 370      CER      RR       39       R1,R2
 2 370      CH       RX       49       R1,D2(X2,B2)
 2 370      CL       RX       55       R1,D2(X2,B2)
 2 370      CLC      SS       D5       D1(L,B1),D2(B2)
 2 370      CLCL     RR       0F       R1,R2
 2 370      CLI      SI       95       D1(B1),I2
 2 370      CLM      RS       BD       R1,M3,D2(B2)
 2 370      CLR      RR       15       R1,R2
 2 370      CLRCH    S        9F01     D2(B2)
 2 370      CLRIO    S        9D01     D2(B2)
 2 370      CNOP     HLASM
 2 370      COM      HLASM
 2 370      CONCS    S        B200     D2(B2)
 2 370      COPY     HLASM
 2 370      CP       SS       F9       D1(L1,B1),D2(L2,B2)
 2 370      CR       RR       19       R1,R2
 2 370      CS       RS       BA       R1,R3,D2(B2)
 2 370      CSECT    HLASM
 2 370      CVB      RX       4F       R1,D2(X2,B2)
 2 370      CVD      RX       4E       R1,D2(X2,B2)
 2 370      CXD      HLASM
 2 370      D        RX       5D       R1,D2(X2,B2)
 2 370      DC       HLASM
 2 370      DD       RX       6D       R1,D2(X2,B2)
 2 370      DDR      RR       2D       R1,R2
 2 370      DE       RX       7D       R1,D2(X2,B2)
 2 370      DER      RR       3D       R1,R2
 2 370      DISCS    S        B201     D2(B2)
 2 370      DP       SS       FD       D1(L1,B1),D2(L2,B2)
 2 370      DR       RR       1D       R1,R2
 2 370      DROP     HLASM
 2 370      DS       HLASM
 2 370      DSECT    HLASM
 2 370      DXD      HLASM
 2 370      ED       SS       DE       D1(L,B1),D2(B2)
 2 370      EDMK     SS       DF       D1(L,B1),D2(B2)
 2 370      EJECT    HLASM
 2 370      END      HLASM
 2 370      ENTRY    HLASM
 2 370      EPAR     RRE      B226     R1
 2 370      EQU      HLASM
 2 370      ESAR     RRE      B227     R1
 2 370      EX       RX       44       R1,D2(X2,B2)
 2 370      EXITCTL  HLASM
 2 370      EXTRN    HLASM
 2 370      GBLA     HLASM
 2 370      GBLB     HLASM
 2 370      GBLC     HLASM
 2 370      HDR      RR       24       R1,R2
 2 370      HDV      S        9E01     D2(B2)
 2 370      HER      RR       34       R1,R2
 2 370      HIO      S        9E00     D2(B2)
 2 370      IAC      RRE      B224     R1
 2 370      IC       RX       43       R1,D2(X2,B2)
 2 370      ICM      RS       BF       R1,M3,D2(B2)
 2 370      ICTL     HLASM
 2 370      IPK      S        B20B
 2 370      IPTE     RRE      B221     R1,R2
 2 370      ISEQ     HLASM
 2 370      ISK      RR       09       R1,R2
 2 370      ISKE     RRE      B229     R1,R2
 2 370      IVSK     RRE      B223     R1,R2
 2 370      L        RX       58       R1,D2(X2,B2)
 2 370      LA       RX       41       R1,D2(X2,B2)
 2 370      LASP     SSE      E500     D1(B1),D2(B2)
 2 370      LCDR     RR       23       R1,R2
 2 370      LCER     RR       33       R1,R2
 2 370      LCLA     HLASM
 2 370      LCLB     HLASM
 2 370      LCLC     HLASM
